fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,k_value,l_value,m_value,percentage_free_sulphur,n_value
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,0,8.825,4.4125,0.622,37.27272727,0.74
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,0,7.99,3.995,0.616,44,0.646
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,0,8.33,4.165,0.68,60,0.826
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,1,8.14,4.07,0.672,24.16666667,0.715
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,0,7.93,3.965,0.671,45,0.7025
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,0,7.41,3.705,0.657,20,0.4865
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,1,9.245,4.6225,0.683,35,0.6915
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,0,9.035,4.5175,0.659,36.66666667,0.7165
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,1,8.13,4.065,0.653,21.72413793,0.8665
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,1,9.49,4.745,1.947,30,0.8685
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,0,9.82,4.91,0.719,25.55555556,0.8525
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,1,8.13,4.065,0.653,21.72413793,0.8665
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0,7.42,3.71,0.581,37,0.8705
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,1,5.68,2.84,0.674,55.78947368,0.515
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,1,8.38,4.19,0.598,40.83333333,0.591
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,1,8.87,4.435,0.79,32.22222222,0.925
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0,7.42,3.71,0.581,37,0.8705
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,1,9.2,4.6,0.615,52.85714286,0.7405
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,1,7.83,3.915,0.677,27.14285714,0.6185
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,1,7.83,3.915,0.677,27.14285714,0.6185
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,1,7.845,3.9225,0.677,26,0.6185
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,1,7.83,3.915,0.677,27.14285714,0.6185
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,1,9.2,4.6,0.615,52.85714286,0.7405
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,0,9.535,4.7675,1.353,124,0.7155
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,1,12.38,6.19,0.803,40,0.7885
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,1,8.28,4.14,0.592,38.92857143,0.611
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1,15.21,7.605,0.915,24,0.7855
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,1,15.21,7.605,0.915,24,0.7855
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1,7.96,3.98,1.044,38.33333333,0.642
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,0,7.78,3.89,0.595,31.875,0.6215
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,0,8.8,4.4,0.522,66.36363636,0.76
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,1,8.23,4.115,0.554,43.33333333,0.559
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1,7.96,3.98,1.044,38.33333333,0.642
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,1,11.12,5.56,0.843,23.125,0.5995
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,1,7.7,3.85,0.774,21.25,0.577
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,0,11.45,5.725,0.62,42,1.071
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,0,8.475,4.2375,0.682,107.5,0.7
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,1,7.7,3.85,0.774,21.25,0.577
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,0,8.57,4.285,0.643,70,1.0425
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,0,9.74,4.87,0.695,26,0.7715
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,0,7.295,3.6475,0.745,46.66666667,0.6675
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,0,8.11,4.055,1.871,56.25,0.9975
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,1,10.31,5.155,0.885,23.57142857,0.9165
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,0,8.23,4.115,0.727,25,0.5945
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,0,7.975,3.9875,0.687,55.83333333,0.6515
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,0,8.52,4.26,0.64,35,0.551
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,0,8.27,4.135,0.747,21.30434783,0.6245
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,0,13.06,6.53,0.934,54,0.85
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,1,12.06,6.03,0.791,16.66666667,0.6795
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,0,8.97,4.485,0.816,23.46153846,1.038
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,1,8.25,4.125,0.938,24.66666667,1.211
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,1,7.44,3.72,0.987,38.57142857,0.9465
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1,11.68,5.84,1.074,57.5,1.354
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,1,8.445,4.2225,0.757,22.59259259,1.2555
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1,11.68,5.84,1.074,57.5,1.354
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,0,11.27,5.635,0.851,38.23529412,1.3515
8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,0,9.115,4.5575,0.716,38,0.798
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,0,8.15,4.075,0.858,34.81481481,2.18
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,1,8.445,4.2225,0.757,22.59259259,1.2555
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,1,7.44,3.72,0.987,38.57142857,0.9465
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1,11.68,5.84,1.074,57.5,1.354
10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,1,10.62,5.31,0.893,26,2.0465
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,1,9.3,4.65,0.857,47,1.7875
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,1,11.66,5.83,0.891,31.66666667,1.2035
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,1,7.97,3.985,1.438,20,1.365
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,0,8.12,4.06,0.637,44.16666667,0.9575
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,1,9.3,4.65,0.857,47,1.7875
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,0,10.49,5.245,0.812,22.1875,1.085
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,0,10.49,5.245,0.812,22.1875,1.085
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,1,12.45,6.225,0.833,19.6,0.7465
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,1,7.9,3.95,0.792,18.27586207,0.97
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1,9.22,4.61,0.951,24.5,0.8135
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,0,12.02,6.01,1.055,29.6969697,1.1485
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,1,9.22,4.61,0.951,24.5,0.8135
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,0,11.2,5.6,1.053,30,0.8675
10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,1,10.95,5.475,0.731,26.66666667,0.9015
6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,1,7.26,3.63,0.698,32,0.819
13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,1,13.64,6.82,0.904,31.17647059,1.111
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,0,11.3,5.65,0.713,54,0.8785
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,0,11.43,5.715,0.606,26.92307692,0.897
7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,0,7.73,3.865,0.813,36.25,0.6535
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,0,7.85,3.925,0.894,62,0.741
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,0,7.57,3.785,0.79,41.25,0.682
7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,1,8.03,4.015,0.676,22,0.835
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,1,11.28,5.64,0.708,21.42857143,0.58
8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,0,9.005,4.5025,0.812,23.33333333,0.85
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,0,8.07,4.035,0.726,42,0.597
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,0,9.05,4.525,0.632,75,0.806
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,1,10.83,5.415,0.653,41.66666667,0.8775
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,0,8.22,4.11,0.602,77.14285714,0.765
10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,1,10.71,5.355,0.833,23.33333333,0.9105
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,1,10.73,5.365,0.844,24,0.915
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,1,7.69,3.845,0.592,33.33333333,0.617
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,1,10.83,5.415,0.653,41.66666667,0.8775
7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,1,8.43,4.215,0.612,70,0.684
9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,1,9.46,4.73,0.723,51.57894737,0.9485
8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,0,9.07,4.535,0.606,45,0.998
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,0,7.76,3.88,0.767,27.69230769,0.8815
7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,1,7.45,3.725,0.746,26.5,0.856
9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,0,10.16,5.08,0.752,24.86486486,1.117
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,1,10.37,5.185,0.722,24.66666667,0.935
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,1,10.46,5.23,0.793,28.0952381,1.0795
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,1,10.37,5.185,0.722,24.66666667,0.935
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,1,10.46,5.23,0.793,28.0952381,1.0795
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,0,9.91,4.955,0.71,34.8,1.117
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,0,8.42,4.21,0.709,30,0.7395
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,1,10.89,5.445,0.79,20.85714286,0.969
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,1,10.49,5.245,0.761,38.46153846,3.3755
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,1,10.49,5.245,0.761,38.46153846,3.3755
11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,1,12.13,6.065,0.861,23.33333333,1.2875
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,0,10.74,5.37,0.937,26,1.5035
13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,1,13.67,6.835,0.752,35,0.945
10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,0,11.16,5.58,0.681,21.42857143,0.7085
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,1,10.56,5.28,0.782,41,1.059
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,1,10.56,5.28,0.782,41,1.059
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,1,8.58,4.29,0.606,54.28571429,1.049
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,0,8.96,4.48,0.625,27.5,0.6985
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,1,8.55,4.275,0.818,22.35294118,0.791
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,1,12.595,6.2975,0.968,30,1.19
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,1,9.33,4.665,0.752,26.66666667,0.686
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,0,8.23,4.115,0.72,20,0.944
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,1,12.89,6.445,1.103,35.35714286,1.0675
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,1,12.78,6.39,1.442,24.16666667,0.839
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,1,12.54,6.27,1.246,21,0.853
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,1,11.02,5.51,0.935,36,0.9385
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,1,11.29,5.645,0.868,23.33333333,0.693
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,1,11.29,5.645,0.868,23.33333333,0.693
11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,1,12.47,6.235,0.862,53.33333333,0.921
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,0,7.685,3.8425,0.877,15.75,0.6035
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,1,7.415,3.7075,0.962,20,0.85
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,1,14.29,7.145,1.023,25,1.0805
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,1,10.16,5.08,1.009,30.66666667,0.9465
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,1,9.885,4.9425,0.953,25.45454545,0.8265
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,1,11.37,5.685,1.087,20,0.9075
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,1,9.895,4.9475,0.926,23.63636364,0.828
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,0,8.365,4.1825,0.82,23.75,0.765
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,0,14.03,7.015,0.89,33.47826087,1.658
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,1,6.31,3.155,0.656,40.74074074,0.533
6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,1,7.45,3.725,0.688,18.82352941,0.761
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,0,11.91,5.955,0.96,18.96551724,1.044
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,1,10.92,5.46,0.866,24.16666667,1.075
11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,1,12.33,6.165,0.959,23,1.1165
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,1,12.98,6.49,0.768,41,0.956
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,0,8.9,4.45,0.799,57.85714286,0.6955
8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,1,9.05,4.525,0.996,23.80952381,0.885
11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,0,12.48,6.24,0.632,61.66666667,0.918
12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,0,12.96,6.48,0.941,25,0.7615
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,1,13.415,6.7075,0.813,60,1.9135
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,1,10.42,5.21,1.037,30,1.1735
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,1,13.415,6.7075,0.813,60,1.9135
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,0,10.975,5.4875,0.766,21.81818182,0.94
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,0,10.64,5.32,0.799,50,1.0235
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,1,9.67,4.835,1.204,30,0.863
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,0,7.665,3.8325,0.843,18,0.7255
7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,1,8.14,4.07,0.926,22.72727273,0.588
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,1,9.38,4.69,1.107,17.69230769,0.6695
7.4,0.55,0.22,2.2,0.106,12,72,0.9959,3.05,0.63,9.2,0,7.95,3.975,0.736,60,0.757
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,1,14.41,7.205,0.899,78.33333333,1.3105
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,1,12.04,6.02,0.954,25,1.524
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,1,11.95,5.975,1.188,24.73684211,1.039
9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,1,9.67,4.835,1.204,30,0.863
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,1,12.025,6.0125,1.078,40,2.036
8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,1,8.72,4.36,0.794,25,0.873
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,1,8.56,4.28,0.88,24.54545455,0.724
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,1,14.115,7.0575,0.885,25.29411765,1.0485
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,1,8.56,4.28,0.88,24.54545455,0.724
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,1,8.56,4.28,0.88,24.54545455,0.724
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,0,8.21,4.105,0.827,23.47826087,0.7295
7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,1,8.03,4.015,0.85,33.63636364,0.779
7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,1,8.34,4.17,0.828,20.86956522,0.696
8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,1,8.96,4.48,0.619,24.70588235,0.6395
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,1,8.26,4.13,0.828,23.04347826,0.666
9.6,0.38,0.31,2.5,0.096,16,49,0.9982,3.19,0.7,10,1,9.98,4.99,0.796,30.625,0.86
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,1,6.45,3.225,0.865,73.33333333,0.4525
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,1,14.115,7.0575,0.885,25.29411765,1.0485
9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,0,9.87,4.935,0.592,43.33333333,0.745
8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,0,9.065,4.5325,0.652,73.07692308,0.778
12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,0,13.3,6.65,0.633,41.66666667,0.8515
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,1,12.37,6.185,0.666,54.28571429,1.445
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0,7.335,3.6675,0.652,18.23529412,2.435
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,1,12.09,6.045,0.737,37.69230769,0.9415
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,1,12.09,6.045,0.737,37.69230769,0.9415
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,0,9.465,4.7325,0.614,46.66666667,0.766
6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,0,7.335,3.6675,0.652,18.23529412,2.435
7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,1,7.96,3.98,0.529,19,0.5995
12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,1,12.68,6.34,0.695,33.68421053,0.9305
11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,1,12,6,0.715,41,0.9505
7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,0,8.39,4.195,0.685,18,0.8575
8.7,0.31,0.46,1.4,0.059,11,25,0.9966,3.36,0.76,10.1,1,9.01,4.505,0.819,22.72727273,0.5415
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,1,10.24,5.12,0.713,31.11111111,0.8755
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,1,12.39,6.195,0.723,25,1.0785
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,1,10.74,5.37,0.874,26.66666667,1.313
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,0,12.96,6.48,0.64,18.84615385,1.483
9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,1,9.43,4.715,0.7,33.07692308,0.858
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,0,9.55,4.775,0.7,33.91304348,0.83
7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,0,7.835,3.9175,0.74,51.33333333,0.652
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,1,10.3,5.15,0.917,31.66666667,2.1645
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,0,9.32,4.66,0.697,50.83333333,0.9215
8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,0,9.325,4.6625,1.187,43.22580645,2.0865
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,1,11.08,5.54,0.771,33.33333333,0.8435
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,0,7.58,3.79,0.571,36.47058824,0.6395
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,1,12.28,6.14,0.881,28.57142857,0.7625
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,0,7.57,3.785,0.746,15.29411765,0.573
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,1,10.06,5.03,0.819,19.14285714,0.8305
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1,7.44,3.72,0.619,15,0.7255
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0,8.66,4.33,0.487,40,0.6635
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1,10.74,5.37,0.966,40,0.757
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,0,8.66,4.33,0.487,40,0.6635
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,1,7.44,3.72,0.619,15,0.7255
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,1,7.07,3.535,0.535,25.26315789,0.6685
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,1,10.28,5.14,0.637,53.33333333,0.6525
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,0,9.62,4.81,0.67,33.33333333,0.491
12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,1,13.64,6.82,0.688,26.92307692,0.89
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1,10.74,5.37,0.966,40,0.757
7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,0,8.35,4.175,0.634,31.42857143,0.767
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,1,12.27,6.135,0.728,20,0.867
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,0,12.69,6.345,0.581,30,0.8615
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1,10.81,5.405,0.966,24.54545455,1.108
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,0,12.69,6.345,0.581,30,0.8615
8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,1,8.67,4.335,0.62,16.31578947,0.69
11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,0.66,11.2,1,11.55,5.775,0.726,36.66666667,1.139
